Date,Avg_Total_AHT,Avg_CSAT,Avg_Service_Rating
2025-03-24,1067.7074629606504,,
2025-03-25,1129.4643860716003,,
2025-03-26,1216.695450288196,,
2025-03-27,1215.228429824455,,
2025-03-28,1159.201907988176,,
2025-03-31,1076.809679482917,,
2025-04-01,1294.8194797220322,,
2025-04-02,1084.2145692843346,,
2025-04-03,1063.8109774270256,,
2025-04-04,1060.7351460906332,,
2025-04-07,1115.715387980072,,
2025-04-08,1065.171321549488,,
2025-04-09,1003.9661023495295,,
2025-04-10,992.6596561636463,,
2025-04-11,1057.3109665182042,,
2025-04-14,971.3374631453215,,
2025-04-15,933.9167889284278,,
2025-04-16,1015.1362367596115,,
2025-04-17,939.5584998624732,,
2025-04-21,961.5487408963586,,
2025-04-22,1044.9598787102443,,
2025-04-23,947.8053799018495,,
2025-04-24,932.4718594207548,,
2025-04-25,868.0201092436974,,
2025-04-28,1186.394527387485,,
2025-04-29,1189.9597068010287,,
2025-04-30,1250.6705712979062,,
2025-05-01,1183.440420305476,,
2025-05-02,1187.2376058073294,,
2025-05-05,1162.4885711535196,3.875,3.875
2025-05-06,1042.739536366664,6.25,7.75
2025-05-07,1114.2492872434545,9.5,9.0
2025-05-08,1019.4564813288898,4.0,7.25
2025-05-09,1110.9452769055522,7.2,9.4
2025-05-10,717.475679896574,,
2025-05-11,870.1545331890331,,
2025-05-12,1034.4398275356273,6.6,7.6
2025-05-13,1095.1794496960833,4.142857142857143,4.857142857142857
2025-05-14,1147.098303996591,3.3333333333333335,3.3333333333333335
2025-05-15,1131.9976052629765,3.6666666666666665,5.666666666666667
2025-05-16,968.9519827544856,4.0,7.5
2025-05-17,927.4726907308377,,
2025-05-18,746.977630952381,,
2025-05-19,1008.5531278458116,5.642857142857143,7.285714285714286
2025-05-20,1051.4157539565817,5.444444444444445,6.888888888888889
2025-05-21,1011.4170335143224,3.8,7.8
2025-05-22,1035.5624337468216,5.466666666666667,6.911111111111111
2025-05-23,957.4157326081505,4.636363636363637,5.454545454545454
2025-05-24,687.6711895881896,4.25,7.75
2025-05-25,886.7167956349206,9.0,10.0
2025-05-26,995.7847663561688,5.842105263157895,7.473684210526316
