Respondent Id,Completed Date,CSAT score,What are your most important reasons for giving us that score?,CONTRACT_ID,Sub-Product,How would you rate the service you received from the consultant handling your enquiry?,Weâd love to know what the consultant did to earn such a rating?,CALL_TYPE,SUBCATEGORY,How could the consultant improve how they handled your enquiry?,OPERATOR,PRIMARY_DIVISION,INTERACTION_DATE,"Thinking about your call, was your enquiry resolved?",Category Summary: What are your most important reasons for giving us that score?,CLASSIFICATION,Date Convert,Completed Date 2,Week Ending,Month,Bank IVR Skill,Tribe,CSAT Group,Theme - Good,Theme - Improve,CSAT Theme,ASAT Group,ASAT Theme,Other and Non product Validation,CSAT Verbatim Group,CSAT Days,CSAT Verbatim and Classification Group,ASAT Verbatim Group,ASAT Days,Tribe Copy,Supervisor,ID,Work Type,FCR,FCR Yes,FCR No,Wave,CSAT_Combined_Text,ASAT_Combined_Text,CSAT_Clean_Text,ASAT_Clean_Text
11160013,2025-06-05 13:55:09,7,"Generally your staff are good but I am horrified (as I have told you several times) that I receive emails on the ordinary system that detail full names, numbers and all relevant data on term deposits that are being reinvested. That to be is totally against secure practice.",TD035785047,,8,,Call - Inbound,Product Enquiry,A little difficult to understand but very obliging.,"Legaspi, James Andrue",Genpact BCC,2025-05-05,"Yes, on first call",ALL->Accessibility_; Overall Comments->Accessibility,Transaction / Savings Account,06/5/2025,2025-05-06,2025-05-11,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Transaction / Savings Account,with Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740036550,Deposit | My AMP,Yes,1,0,2,"Generally your staff are good but I am horrified (as I have told you several times) that I receive emails on the ordinary system that detail full names, numbers and all relevant data on term deposits that are being reinvested. That to be is totally against secure practice. ALL->Accessibility_; Overall Comments->Accessibility 0 nan nan",8 nan,generally horrified told several times receive emails ordinary system detail full names numbers relevant data term deposits reinvested totally secure practice allaccessibility overall commentsaccessibility,
11160003,2025-06-05 12:02:55,8,Prompt and helful response to requests for assistance.,314601364,AMP SAVER ACCOUNT,8,,Call - Inbound,,,"Gili, Liezel",Genpact BCC,2025-05-05,"Yes, on first call",Adviser/Financial Planner->Quality of Advice from Financial Adviser; ALL->Helpfulness_; ALL->Quality of Advice from Financial Adviser_; ALL->Timeliness_; Effort/Resolution->Timeliness; People Interaction->Helpfulness,,06/5/2025,2025-05-06,2025-05-11,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Not Classified,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740040947,Deposit | My AMP,Yes,1,0,2,Prompt and helful response to requests for assistance. Adviser/Financial Planner->Quality of Advice from Financial Adviser; ALL->Helpfulness_; ALL->Quality of Advice from Financial Adviser_; ALL->Timeliness_; Effort/Resolution->Timeliness; People Interaction->Helpfulness 0 nan nan,8 nan,prompt helful response requests adviserfinancial plannerquality advice financial adviser allhelpfulness allquality advice financial adviser alltimeliness effortresolutiontimeliness people interactionhelpfulness,
11159949,2025-06-05 09:27:57,3,Inefficient inhuman ID process.  Slow supply times for new card.  Slow to pass on rate changes.,450919618,OFFSET DEPOSIT ACCOUNT,5,,Call - Inbound,Maintenance / Servicing,More a process problem than human. Know your audience.  If a card has been taken for no reason by a machine it is a stressful and concerning situation. Asking for exact Account numbers and card numbers is easily avoided by asking simpler questions like last purchases or regular autotmatic transfers etc.,"San Luis, Vanessa Ana",Genpact BCC,2025-04-30,Too early to tell,ALL->Efficiency/Organisation_; ALL->Price-General_; ALL->Timeliness_; Effort/Resolution->Efficiency/Organisation; Effort/Resolution->Timeliness; Pricing->Price-General,Access Cards / Tokens,06/5/2025,2025-05-06,2025-05-11,2025-05-01,Bank Customer Loan,Lending Existing Customer,Negative,,Service - Lending,Service - Lending,Negative,Non-agent opportunity,,with CSAT Verbatim,1,Access Cards / Tokens,with Verbatim,1,Lending Existing Customer,"Reyes, Mark Anthony",740036531,Deposit | My AMP,,0,0,2,Inefficient inhuman ID process.  Slow supply times for new card.  Slow to pass on rate changes. ALL->Efficiency/Organisation_; ALL->Price-General_; ALL->Timeliness_; Effort/Resolution->Efficiency/Organisation; Effort/Resolution->Timeliness; Pricing->Price-General Service - Lending Service - Lending nan,5 Non-agent opportunity,inefficient inhuman id process slow supply times new card slow pass rate changes allefficiencyorganisation allpricegeneral alltimeliness effortresolutionefficiencyorganisation effortresolutiontimeliness pricingpricegeneral lending,nonagent opportunity
11159948,2025-06-05 08:13:12,7,,TD782511638,,10,,Call - Inbound,Maintenance / Servicing,,"Sespene, Rex",Genpact BCC,2025-04-30,"Yes, on first call",,Term Deposit Maturity / Break,06/5/2025,2025-05-06,2025-05-11,2025-05-01,Bank Customer Deposit,EDB Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Term Deposit Maturity / Break,No Verbatim,1,EDB Existing Customer,"Cuanico, Maria Cassandra",740009791,Deposit | My AMP,Yes,1,0,1,nan nan No CSAT Verbatim nan nan,10 nan,csat verbatim,
11160137,2025-07-05 21:02:13,10,,237485095,AMP ESSENTIAL HOME LOAN,10,,Call - Inbound,Transactions,,"Hirang, Danielle",Genpact BCC,2025-05-01,"Yes, on first call",,Funds Transfer,07/5/2025,2025-05-07,2025-05-11,2025-05-01,Bank Customer Loan,Lending Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Funds Transfer,No Verbatim,1,Lending Existing Customer,"Landicho, Janeth",740047136,Lending,Yes,1,0,1,nan nan No CSAT Verbatim nan nan,10 nan,csat verbatim,
11160136,2025-07-05 18:43:47,9,Generally good service,928125745,SignatureSuper,8,,Call - Inbound,Online,"It was not Ma's fault, but I had some trouble understanding","Cruzate, Ma Lourdes",Genpact BCC,2025-05-06,"Yes, on first call",ALL->General Pos/Neg_; Overall Comments->General Pos/Neg,,07/5/2025,2025-05-07,2025-05-11,2025-05-01,Other/Non product,Other/Non product,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Not Classified,with Verbatim,1,Other/Non product,"Dio, Rochelle",0,Deposit | My AMP,Yes,1,0,0,Generally good service ALL->General Pos/Neg_; Overall Comments->General Pos/Neg 0 nan nan,8 nan,generally allgeneral posneg overall commentsgeneral posneg,
11160190,2025-08-05 15:28:08,4,"Since you introduced the new rule that the acc. balance must increase by $250 you are making it very difficult / time consuming to establish if I'm on track to earn the bonus interest as the app shows no running balance after transactions.                                                                                                                                                                               The only way I can see to work it out is to find the statement and manually work it out with a calculator, which to me suggests that you will be paying out much less interest to people who get caught by your inability to add a simple function to your app showing the target for bonus interest.                                                                                          Please sort this out",633609235,AMP SAVER ACCOUNT,4,,Call - Inbound,,,"Barde, Kashyr",Genpact BCC,2025-05-05,Not yet resolved,ALL->Account Transactions_; ALL->Digital Transactions_; ALL->Ease of Service_; ALL->Mobile App_; ALL->Offline Statements_; ALL->Online Statements_; ALL->Price-General_; Communication->Offline Statements; Digital Experience->Digital Transactions; Digital Experience->Mobile App; Digital Experience->Online Statements; Overall Comments->Ease of Service; Pricing->Price-General; Transactions->Account Transactions,,08/5/2025,2025-05-08,2025-05-11,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Service - EDB,Service - EDB,Negative,,,with CSAT Verbatim,1,Not Classified,No Verbatim,1,EDB Existing Customer,"Cuanico, Maria Cassandra",740047676,Deposit | My AMP,No,0,1,1,"Since you introduced the new rule that the acc. balance must increase by $250 you are making it very difficult / time consuming to establish if I'm on track to earn the bonus interest as the app shows no running balance after transactions.                                                                                                                                                                               The only way I can see to work it out is to find the statement and manually work it out with a calculator, which to me suggests that you will be paying out much less interest to people who get caught by your inability to add a simple function to your app showing the target for bonus interest.                                                                                          Please sort this out ALL->Account Transactions_; ALL->Digital Transactions_; ALL->Ease of Service_; ALL->Mobile App_; ALL->Offline Statements_; ALL->Online Statements_; ALL->Price-General_; Communication->Offline Statements; Digital Experience->Digital Transactions; Digital Experience->Mobile App; Digital Experience->Online Statements; Overall Comments->Ease of Service; Pricing->Price-General; Transactions->Account Transactions Service - EDB Service - EDB nan",4 nan,since introduced new rule acc balance increase making difficult time consuming establish im track earn bonus interest app shows running balance transactions way see work find statement manually work calculator suggests paying less interest people get caught inability add simple function app showing target bonus interest allaccount transactions alldigital transactions allease allmobile app alloffline statements allonline statements allpricegeneral communicationoffline statements digital experiencedigital transactions digital experiencemobile app digital experienceonline statements overall commentsease pricingpricegeneral transactionsaccount transactions edb,
11160175,2025-08-05 10:24:02,3,"Since you have been outsourcing to the Phillipines it seems to take longer to get matters resoled. Also when first calling the AMP Bank you given options for the type of enquiry etc eg press 1 for loans etc. It then says something like if you enquriy is about another matter the recording says press zero, and when you do you are told that this is not a valid option, WTF?",908085426,AMP CASH MANAGER,7,,Call - Inbound,Transactions,,"Sena, Wilma",Genpact BCC,2025-05-07,Too early to tell,ALL->Automated Phone System_; ALL->Calling AMP_; ALL->Timeliness_; Effort/Resolution->Timeliness; Phone/Call Center->Automated Phone System; Phone/Call Center->Calling AMP,Query Transaction,08/5/2025,2025-05-08,2025-05-11,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Service - BCC,Service - BCC,Positive,,,with CSAT Verbatim,1,Query Transaction,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740032227,Deposit | My AMP,,0,0,2,"Since you have been outsourcing to the Phillipines it seems to take longer to get matters resoled. Also when first calling the AMP Bank you given options for the type of enquiry etc eg press 1 for loans etc. It then says something like if you enquriy is about another matter the recording says press zero, and when you do you are told that this is not a valid option, WTF? ALL->Automated Phone System_; ALL->Calling AMP_; ALL->Timeliness_; Effort/Resolution->Timeliness; Phone/Call Center->Automated Phone System; Phone/Call Center->Calling AMP Service - BCC Service - BCC nan",7 nan,since outsourcing phillipines seems take longer get matters resoled first calling amp bank given options type enquiry eg press loans says something like enquriy another matter recording says press zero told valid option wtf allautomated phone system allcalling amp alltimeliness effortresolutiontimeliness phonecall centerautomated phone system phonecall centercalling amp bcc,
11160173,2025-08-05 10:22:17,7,Iâm not sure if account I did apply for will work for me,393572193,BASIC VARIABLE RATE LOAN - PRINCIPAL & INTEREST (INVESTMENT),9,Mary did everything right but if your product will work for me I will check using it,Call - Inbound,Forms,,"IbaÃ±ez, Mary",Genpact BCC,2025-05-07,Too early to tell,ALL->Products-General_; Products->Products-General,,08/5/2025,2025-05-08,2025-05-11,2025-05-01,Bank Customer Loan,Lending Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Not Classified,No Verbatim,1,Lending Existing Customer,"Gonzales, Fritz",740048486,Lending,,0,0,2,Iâm not sure if account I did apply for will work for me ALL->Products-General_; Products->Products-General 0 nan nan,9 nan,sure account apply work allproductsgeneral productsproductsgeneral,
11160172,2025-08-05 10:20:02,2,Very bad service. Considering leaving. But that person on 6th was good but i ran guo like 3 other times.,957908675,SignatureSuper,9,Was good service. But the others. Jeez. was terible,Call - Inbound,Transactions,,"Barde, Kashyr",Genpact BCC,2025-05-06,"Yes, after multiple calls",ALL->Leaving_; Brand->Leaving,Query Transaction,08/5/2025,2025-05-08,2025-05-11,2025-05-01,Other/Non product,Other/Non product,Negative,,Service - BCC,Service - BCC,Positive,Non-agent opportunity,,with CSAT Verbatim,1,Query Transaction,No Verbatim,1,Other/Non product,"Cuanico, Maria Cassandra",740047676,Deposit | My AMP,Yes,1,0,1,Very bad service. Considering leaving. But that person on 6th was good but i ran guo like 3 other times. ALL->Leaving_; Brand->Leaving Service - BCC Service - BCC nan,9 Non-agent opportunity,considering leaving th ran guo like times allleaving brandleaving bcc,nonagent opportunity
11160279,2025-09-05 14:49:38,10,,487820979,OFFSET DEPOSIT ACCOUNT,10,,Call - Inbound,Transactions,,"Lunas, Montecarlo",Genpact BCC,2025-05-06,"Yes, on first call",,Funds Transfer,09/5/2025,2025-05-09,2025-05-11,2025-05-01,Bank Customer Loan,Lending Existing Customer,PositIve,,,No CSAT Verbatim,Positive,,,No CSAT Verbatim,1,Funds Transfer,No Verbatim,1,Lending Existing Customer,"Cuanico, Maria Cassandra",740048252,Deposit | My AMP,Yes,1,0,1,nan nan No CSAT Verbatim nan nan,10 nan,csat verbatim,
11160273,2025-09-05 12:33:23,10,Competitive interest rates and offers,622576298,PROFESSIONAL PACK VARIABLE RATE LOAN - PRINCIPAL & INTEREST,10,Listened to what I said and hopefully did what I requested,Call - Inbound,Product Enquiry,,"Sison, Razelle",Genpact BCC,2025-05-08,Not yet resolved,ALL->Competitiveness_; ALL->Investment Results_; Brand->Competitiveness; Products->Investments->Investment Results,Home Loan,09/5/2025,2025-05-09,2025-05-11,2025-05-01,Bank Customer Loan,Lending Existing Customer,PositIve,,,0,Positive,,,with CSAT Verbatim,1,Home Loan,No Verbatim,1,Lending Existing Customer,"Landicho, Janeth",740048522,Lending,No,0,1,1,Competitive interest rates and offers ALL->Competitiveness_; ALL->Investment Results_; Brand->Competitiveness; Products->Investments->Investment Results 0 nan nan,10 nan,competitive interest rates offers allcompetitiveness allinvestment results brandcompetitiveness productsinvestmentsinvestment results,
11160272,2025-09-05 12:12:14,0,"My issue was not addressed from the complaints department, despite numerious phone calls and emails",541855247,AMP SAVER ACCOUNT,10,Melgie listend to my concern but nothing was resolved,Call - Inbound,Complaint,,"Avila, Melgie",Genpact BCC,2025-05-08,Not yet resolved,ALL->Calling AMP_; ALL->Follow up/Responsiveness_; Effort/Resolution->Follow up/Responsiveness; Phone/Call Center->Calling AMP,Delay / Error,09/5/2025,2025-05-09,2025-05-11,2025-05-01,Bank Customer Deposit,EDB Existing Customer,Negative,,Service - general,Service - general,Positive,,,with CSAT Verbatim,1,Delay / Error,No Verbatim,1,EDB Existing Customer,"Reyes, Mark Anthony",740037153,Deposit | My AMP,No,0,1,2,"My issue was not addressed from the complaints department, despite numerious phone calls and emails ALL->Calling AMP_; ALL->Follow up/Responsiveness_; Effort/Resolution->Follow up/Responsiveness; Phone/Call Center->Calling AMP Service - general Service - general nan",10 nan,issue addressed complaints department despite numerious phone emails allcalling amp allfollow upresponsiveness effortresolutionfollow upresponsiveness phonecall centercalling amp general,
